Id	name	dept_id		salary
1	Amit	1		45000
2	Neha	2		65000
3	Rahul	2		72000
4	Sneha	3		55000
5	Vikas	4		48000
6	Priya	5		60000
7	Karan	6		52000
8	Pooja	7		90000
9	Arjun	8		47000
10	Riya	9		51000
11	Sagar	10		43000
12	Anita	1		46000
13	Deepak	2		75000
14	Meena	3		57000
15	Nikhil	4		49000
16	Swati	5		61000
17	Ajay	6		54000
18	Komal	7		88000
19	Varun	8		50000
20	Anjali	9		53000
21	Rohit	10		44000
22	Isha	1		47000
23	Manish	2		80000
24	Asha	3		59000
25	Tarun	4		51000
26	Divya	5		63000
27	Sanjay	6		56000
28	Payal	7		91000
29	Ramesh	8		52000
30	Shweta	9		54000
31	Harish	10		45000
32	Preeti	1		48000
33	Akash	2		83000
34	Seema	3		60000
35	Yash	4		52000
36	Nisha	5		65000
37	Mohit	6		57000
38	Tanvi	7		92000
39	Gaurav	8		54000
40	Kavya	9		56000
43	aniket	0		20000
44	shivam	0		20000
45	swaraj	0		140000
46	rakesh	0		50000
47	magesh	2		60000
48	ABC	0		25000
49	PQR	0		1500
50	PQR	0		5000
51	An	0		500
